Index,Nom de l'animal,Règne,Embranchement,Sous-embranchement,Classe,Sous-classe,Infra-classe,Ordre,Super-ordre,Sous-ordre,Infra-ordre,Famille,Super-famille,Sous-famille,Genre,Sous-genre,Tribu,Clade
0,Loup arctique,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
1,Renard polaire,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
2,Chlamydophore tronqué,Animaux,Chordés,Vertébrés,Mammifères,,,Cingulata,,,,Chlamyphoridae,,Chlamyphorinae,Chlamyphorus,,,
3,Éléphant de Sumatra,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
4,Hermine,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
5,Galéopithèque de la Sonde,Animaux,Chordés,Vertébrés,Mammifères,,,Dermoptera,,,,Cynocephalidae,,,Galeopterus,,,
6,Maki catta,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Lemur,,,
7,Porc domestique,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Suidae,,,Sus,,,
8,Loup gris,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
9,Écureuil roux américain,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Tamiasciurus,,,
10,Oryx d'Arabie,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Oryx,,,
11,Loup du Mexique,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
12,Vache Highland,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
13,Éléphant de Bornéo,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
14,Urial,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
15,Quokka,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,Macropodinae,Setonix,,,
16,Fennec,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
17,Éléphant d'Asie,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
18,Tangue zébré,Animaux,Chordés,Vertébrés,Mammifères,,,Afrosoricida,,,,Tenrecidae,,,Hemicentetes,,,
19,Hyène brune,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Hyaenidae,,,Hyaena,,,
20,Mara de Patagonie,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Caviidae,,,Dolichotis,,,
21,Vison de mer,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Neovison,,,
22,Antilope cervicapre,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Antilope,,,
23,Élaphe d'eau,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Elaphodus,,,
24,Rhinopithèque de Roxellane,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Rhinopithecus,,,
25,Rhinocéros blanc,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Rhinocerotidae,,,Ceratotherium,,,
26,Éléphant de savane d'Afrique,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Loxodonta,,,
27,Roussette de l'Inde,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
28,Cerf Sika,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
29,Cerf élaphe,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
30,Loup doré africain,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
31,Macaque ouandérou,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
32,Macaque crabier,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
33,Semnopithèque obscur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
34,Atèle à tête noire,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
35,Renard gris,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Urocyon,,,
36,Mangouste grise de l'Inde,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
37,Kangourou antilope,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Osphranter,,
38,Macaque japonais,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
39,Renard roux,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
40,Chien des buissons,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Speothos,,,
41,Loup arctique,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
